ID,Iden,Region,Population,Treatment,Block,PD_mean,PD_median,PD_sd,PD_se,PD_max,PD_min
CE2,CE2C,South,CE,Control,C,,,,,,
CE2,CE2D,South,CE,Heat,D,,,,,,
CE3,CE3C,South,CE,Heat,C,,,,,,
CE3,CE3D,South,CE,Control,D,,,,,,
CE4,CE4C,South,CE,Heat,C,,,,,,
CE4,CE4D,South,CE,Control,D,,,,,,
CE5,CE5C,South,CE,Control,C,,,,,,
CE5,CE5D,South,CE,Heat,D,,,,,,
CE6,CE6C,South,CE,Control,C,,,,,,
CE6,CE6D,South,CE,Heat,D,,,,,,
CE7a,CE7aC,South,CE,Control,C,,,,,,
CE7a,CE7aD,South,CE,Heat,D,,,,,,
CE7b,CE7bC,South,CE,Control,C,,,,,,
CE7b,CE7bD,South,CE,Heat,D,,,,,,
CE8,CE8C,South,CE,Control,C,,,,,,
CE8,CE8D,South,CE,Heat,D,,,,,,
CE9,CE9C,South,CE,Control,C,,,,,,
CE9,CE9D,South,CE,Heat,D,,,,,,
FR1,FR1C,North,FR,Control,C,2.253144445,2.246183745,0.124952009,0.011221022,2.538434137,1.916729335
FR1,FR1D,North,FR,Heat,D,,,,,,
FR10,FR10C,North,FR,Heat,C,2.035011303,2.056565086,0.142615295,0.013018936,2.345808437,1.669361851
FR10,FR10D,North,FR,Control,D,,,,,,
FR11,FR11C,North,FR,Heat,C,1.866786776,1.827780387,0.255386801,0.020003438,2.528368406,0.792143674
FR11,FR11D,North,FR,Control,D,2.385748673,2.394783528,0.150040705,0.011936598,2.783636807,1.833660955
FR12,FR12C,North,FR,Control,C,2.450698066,2.458343338,0.101001781,0.009904039,2.669464262,2.123530188
FR12,FR12D,North,FR,Heat,D,,,,,,
FR2,FR2C,North,FR,Heat,C,,,,,,
FR2,FR2D,North,FR,Control,D,2.3397261,2.355247655,0.09593382,0.008721256,2.571660884,2.042078483
FR6,FR6C,North,FR,Control,C,2.197578374,2.199726365,0.126819343,0.012556986,2.507184874,1.869051526
FR6,FR6D,North,FR,Heat,D,,,,,,
FR8,FR8C,North,FR,Heat,C,,,,,,
FR8,FR8D,North,FR,Control,D,2.317904343,2.333188714,0.117649635,0.01137362,2.547603139,1.75525577
OP1,OP1C,South,OP,Control,C,2.179465136,2.228058968,0.221508377,0.018395269,2.622685852,1.462659831
OP1,OP1D,South,OP,Heat,D,1.776554791,1.801096186,0.215076979,0.018442699,2.338891756,0.853451775
OP2,OP2C,South,OP,Control,C,2.052112825,2.13859805,0.332373644,0.031129644,2.824472151,1.099153153
OP2,OP2D,South,OP,Heat,D,,,,,,
OP3,OP3C,South,OP,Heat,C,,,,,,
OP3,OP3D,South,OP,Control,D,2.296039748,2.358265077,0.222595376,0.022259538,2.637765136,1.478099818
OP4,OP4C,South,OP,Heat,C,1.869207244,1.83661329,0.211154004,0.020413028,2.64907253,1.532888634
