"","ID","Iden","Region","Population","Block","Treatment","flowers_pollinated","fruit_count","style_length_1","style_length_2","style_length_3","stamen_length_1","stamen_length_2","stamen_length_3","ovule_number_1","ovule_number_2","ovule_number_3","fruit_mass_1","fruit_mass_2","fruit_mass_3","viable_seed_1","viable_seed_2","viable_seed_3","aborted_seed_1","aborted_seed_2","aborted_seed_3","unfertilized_ovules_1","unfertilized_ovules_2","unfertilized_ovules_3","PD_mean","PD_median","PD_sd","PD_se","PD_max","PD_min","number","no_tubes","tubes","total_grains","Pictures","Germ.Tmin","Germ.Tmax","PTGR.Tmin","PTGR.Tmax","HCMS","CCMS","HCHPL","CCHPL","HPS","CPS"
"38","CE7b","CE7bB","South","CE","B","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868936948,0.467003947,0.496028703,0.42832484,0.843195266,0.940860215
"39","CE7b","CE7bC","South","CE","C","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818296872,0.558662099,0.297434614,0.605404755,0.963157895,0.954268293
"40","CE7b","CE7bD","South","CE","D","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773961932,0.574934894,0.445961087,0.645123707,0.896341463,0.545454545
"41","CE8","CE8A","South","CE","A","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623864571,0.447495091,0.521676243,0.654191743,0.357142857,0.068794326
"42","CE8","CE8B","South","CE","B","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.782093561,0.60313742,0.4188365,0.489669421,0.497607656,0.701067616
"43","CE8","CE8C","South","CE","C","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.708704943,0.495696433,0.310112662,0.479245283,0.718954248,0.317647059
"44","CE8","CE8D","South","CE","D","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.830049348,0.510199083,0.41933585,0.580438782,0.293675889,0.791855204
"45","CE9","CE9A","South","CE","A","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619234644,0.477683624,0.563055188,0.702681341,0.453674121,0.246126761
"46","CE9","CE9B","South","CE","B","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.844154508,0.470860442,0.381687388,0.540566579,0.81509434,0.699530516
"47","CE9","CE9C","South","CE","C","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.828103153,0.534801094,0.44875732,0.576331022,NA,0.875912409
