ID,Iden,location,population,ramet,Germ.Tmin,Germ.Tmax,PTGR.Tmin,PTGR.Tmax,HCMS,CCMS,HCHPL,CCHPL,HPS,CPS
OP2,OP2C,South,OP,C,9.434,43.569,10.427,41.693,0.796336381,0.493730633,0.358047016,0.545548857,NA,NA
OP2,OP2D,South,OP,D,NA,NA,NA,NA,0.726569444,0.443510804,0.53063401,0.768949896,0.762331839,0.50960452
OP3,OP3A,South,OP,A,8.242,52.964,9.896,41.949,0.297615351,0.630350892,0.435984848,0.71523321,0.292569659,0.60371517
OP3,OP3B,South,OP,B,8.438,44.563,9.227,40.904,0.421768938,0.489536391,0.578853586,0.628884826,NA,0.628205128
OP3,OP3C,South,OP,C,8.068,56.242,10.115,41.745,0.689387673,0.557351486,0.39090253,0.660377844,NA,NA
OP3,OP3D,South,OP,D,9.775,43.187,9.823,41.12,0.830828445,0.432511595,0.555982322,0.726213592,NA,NA
OP4,OP4A,South,OP,A,7.739,55.372,9.856,42.993,0.769899778,0.582638102,0.430021158,0.519188393,NA,0.525679758
OP4,OP4B,South,OP,B,8.723,54.044,10.284,43.666,0.435281854,0.512609708,0.359277511,0.613812468,NA,0.370833333
OP4,OP4C,South,OP,C,6.942,50.835,9.92,41.583,0.382167078,0.658694357,0.37825337,0.661037696,0.022348485,0.463878327
OP4,OP4D,South,OP,D,8.394,53.22,10.21,41.983,0.483423409,0.468885,0.390087806,0.656008656,NA,0.265079365
OP5,OP5A,South,OP,A,9.161,45.53,9.755,41.183,0.765742598,0.616953981,0.160056231,0.68495068,0.478632479,0.60251046
OP5,OP5B,South,OP,B,NA,NA,NA,NA,0.436442664,0.603199473,0.446366475,0.595015468,0.47257384,0.916083916
OP5,OP5C,South,OP,C,8.391,42.514,9.649,41.568,0.67988321,0.551007511,0.364949817,0.628209777,NA,0.162138728
OP5,OP5D,South,OP,D,9.147,46.499,10.074,41.244,0.585569851,0.498713227,0.370748171,0.716787378,0.353676471,0.531707317
OP6,OP6A,South,OP,A,9.261,41.687,10.271,41.664,0.377602683,0.550940752,0.300971251,0.626967293,NA,0.409302326
