ID,Iden,Region,Population,Treatment,Block,flowers_pollinated,fruit_count
PI9,PI9D,North,PI,Heat,D,,
RE6,RE6C,South,RE,Heat,C,,
RE6,RE6D,South,RE,Control,D,,
RE7,RE7C,South,RE,Heat,C,,
RE7,RE7D,South,RE,Control,D,,
RE8,RE8C,South,RE,Heat,C,,
RE8,RE8D,South,RE,Control,D,,
RE3,RE3C,South,RE,Heat,C,,
RE3,RE3D,South,RE,Control,D,,
RE5,RE5C,South,RE,Control,C,,
RE5,RE5D,South,RE,Heat,D,,
