ID,Iden,Region,Population,Treatment,Block,Number,style_length,stamen_length,ovule_number,mass,viable_seed,aborted_seed,unfertilized
FR11,FR11D,North,FR,Control,D,2,12.2,7.5,147,,,,
FR11,FR11D,North,FR,Control,D,3,12,7.1,138,,,,
FR12,FR12A,North,FR,Control,A,1,9.1,6.6,104,,8,0,72
FR12,FR12A,North,FR,Control,A,2,11,5.2,106,,30,1,46
FR12,FR12A,North,FR,Control,A,3,9.2,5.8,116,,49,2,25
FR12,FR12B,North,FR,Heat,B,1,,,,,,,
FR12,FR12B,North,FR,Heat,B,2,,,,,,,
FR12,FR12B,North,FR,Heat,B,3,,,,,,,
FR12,FR12C,North,FR,Control,C,1,,,,,,,
FR12,FR12C,North,FR,Control,C,2,,,,,,,
FR12,FR12C,North,FR,Control,C,3,,,,,,,
FR12,FR12D,North,FR,Heat,D,1,,,,,,,
FR12,FR12D,North,FR,Heat,D,2,,,,,,,
FR12,FR12D,North,FR,Heat,D,3,,,,,,,
FR1,FR1A,North,FR,Control,A,1,13.3,7.1,28,,123,0,0
FR1,FR1A,North,FR,Control,A,2,11.3,7.2,91,,123,0,0
FR1,FR1A,North,FR,Control,A,3,12.8,7,104,,114,3,3
FR1,FR1B,North,FR,Heat,B,1,11.1,5.3,105,,0,0,59
FR1,FR1B,North,FR,Heat,B,2,12.7,6,101,,5,0,30
FR1,FR1B,North,FR,Heat,B,3,10,4.2,77,,30,3,9
FR1,FR1C,North,FR,Control,C,1,,,,,,,
FR1,FR1C,North,FR,Control,C,2,,,,,,,
FR1,FR1C,North,FR,Control,C,3,,,,,,,
FR1,FR1D,North,FR,Heat,D,1,,,,,,,
FR1,FR1D,North,FR,Heat,D,2,,,,,,,
FR1,FR1D,North,FR,Heat,D,3,,,,,,,
FR2,FR2A,North,FR,Heat,A,1,11.9,5.2,72,,55,4,4
FR2,FR2A,North,FR,Heat,A,2,10.6,5,96,,35,0,9
FR2,FR2A,North,FR,Heat,A,3,12,5.9,118,,55,0,0
FR2,FR2B,North,FR,Control,B,1,,,,,,,
FR2,FR2B,North,FR,Control,B,2,,,,,,,
FR2,FR2B,North,FR,Control,B,3,,,,,,,
FR2,FR2C,North,FR,Heat,C,1,,,,,,,
FR2,FR2C,North,FR,Heat,C,2,,,,,,,
FR2,FR2C,North,FR,Heat,C,3,,,,,,,
FR2,FR2D,North,FR,Control,D,1,,,,,,,
FR2,FR2D,North,FR,Control,D,2,,,,,,,
FR2,FR2D,North,FR,Control,D,3,,,,,,,
FR6,FR6A,North,FR,Control,A,1,,,,,,,
FR6,FR6A,North,FR,Control,A,2,,,,,,,
FR6,FR6A,North,FR,Control,A,3,,,,,,,
FR6,FR6B,North,FR,Heat,B,1,,,,,,,
FR6,FR6B,North,FR,Heat,B,2,,,,,,,
FR6,FR6B,North,FR,Heat,B,3,,,,,,,
FR6,FR6C,North,FR,Control,C,1,12.1,8,103,,,,
FR6,FR6C,North,FR,Control,C,2,12,6.5,125,,,,
FR6,FR6C,North,FR,Control,C,3,12.1,6.7,101,,,,
FR6,FR6D,North,FR,Heat,D,1,,,,,,,
FR6,FR6D,North,FR,Heat,D,2,,,,,,,
FR6,FR6D,North,FR,Heat,D,3,,,,,,,
FR8,FR8A,North,FR,Heat,A,1,,,,,,,
FR8,FR8A,North,FR,Heat,A,2,,,,,,,
FR8,FR8A,North,FR,Heat,A,3,,,,,,,
FR8,FR8B,North,FR,Control,B,1,,,,,,,
FR8,FR8B,North,FR,Control,B,2,,,,,,,
FR8,FR8B,North,FR,Control,B,3,,,,,,,
FR8,FR8C,North,FR,Heat,C,1,,,,,,,
FR8,FR8C,North,FR,Heat,C,2,,,,,,,
FR8,FR8C,North,FR,Heat,C,3,,,,,,,
FR8,FR8D,North,FR,Control,D,1,,,,,,,
FR8,FR8D,North,FR,Control,D,2,,,,,,,
FR8,FR8D,North,FR,Control,D,3,,,,,,,
OP1,OP1A,South,OP,Control,A,1,11.6,7.2,62,,21,1,8
OP1,OP1A,South,OP,Control,A,2,11.4,7.2,77,,108,0,38
OP1,OP1A,South,OP,Control,A,3,11.5,7.8,102,,,,
OP1,OP1B,South,OP,Heat,B,1,,,,,,,
OP1,OP1B,South,OP,Heat,B,2,,,,,,,
OP1,OP1B,South,OP,Heat,B,3,,,,,,,
OP1,OP1C,South,OP,Control,C,1,11.6,7.1,90,1.766,78,3,4
OP1,OP1C,South,OP,Control,C,2,12,7.2,88,1.592,63,0,5
OP1,OP1C,South,OP,Control,C,3,12.1,7.8,66,1.886,78,2,3
OP1,OP1D,South,OP,Heat,D,1,9.3,6.8,109,,,,
OP1,OP1D,South,OP,Heat,D,2,11.3,6.9,116,,,,
OP1,OP1D,South,OP,Heat,D,3,9.8,6.1,110,,,,
OP2,OP2A,South,OP,Control,A,1,14,7.4,137,,68,0,9
OP2,OP2A,South,OP,Control,A,2,13.5,7.8,121,,57,2,3
OP2,OP2A,South,OP,Control,A,3,,7.4,,,69,1,5
OP2,OP2B,South,OP,Heat,B,1,,,,,,,
OP2,OP2B,South,OP,Heat,B,2,,,,,,,
OP2,OP2B,South,OP,Heat,B,3,,,,,,,
OP2,OP2C,South,OP,Control,C,1,14.1,7.1,113,,,,
OP2,OP2C,South,OP,Control,C,2,14,7.8,113,,,,
OP2,OP2C,South,OP,Control,C,3,12.8,7.2,137,,,,
OP2,OP2D,South,OP,Heat,D,1,,,,,,,
OP2,OP2D,South,OP,Heat,D,2,,,,,,,
OP2,OP2D,South,OP,Heat,D,3,,,,,,,
OP3,OP3A,South,OP,Heat,A,1,,,,,,,
OP3,OP3A,South,OP,Heat,A,2,,,,,,,
OP3,OP3A,South,OP,Heat,A,3,,,,,,,
OP3,OP3B,South,OP,Control,B,1,13.1,7.5,76,1.397,58,0,8
OP3,OP3B,South,OP,Control,B,2,13,7.6,86,1.319,53,0,6
OP3,OP3B,South,OP,Control,B,3,12.5,7.4,73,1.307,54,0,3
OP3,OP3C,South,OP,Heat,C,1,,,,,,,
OP3,OP3C,South,OP,Heat,C,2,,,,,,,
OP3,OP3C,South,OP,Heat,C,3,,,,,,,
OP3,OP3D,South,OP,Control,D,1,,,,,,,
OP3,OP3D,South,OP,Control,D,2,,,,,,,
OP3,OP3D,South,OP,Control,D,3,,,,,,,
OP4,OP4A,South,OP,Heat,A,1,15,8.9,114,,61,1,17
OP4,OP4A,South,OP,Heat,A,2,14.2,8.5,101,,62,2,19
OP4,OP4A,South,OP,Heat,A,3,13.7,8.3,117,,63,0,12
OP4,OP4B,South,OP,Control,B,1,13.6,8.1,64,,50,3,3
OP4,OP4B,South,OP,Control,B,2,13.9,8.5,88,,52,4,6
OP4,OP4B,South,OP,Control,B,3,13.1,7.9,88,,60,4,1
OP4,OP4C,South,OP,Heat,C,1,14.1,7.7,104,,,,
OP4,OP4C,South,OP,Heat,C,2,12.4,7.8,114,,,,
OP4,OP4C,South,OP,Heat,C,3,12.9,7.7,106,,,,
OP4,OP4D,South,OP,Control,D,1,10.9,7.8,70,,,,
OP4,OP4D,South,OP,Control,D,2,12,7.8,80,,,,
OP4,OP4D,South,OP,Control,D,3,,,,,,,
OP5,OP5A,South,OP,Control,A,1,13,7.8,127,,77,0,0
