ID,Iden,Region,Population,Treatment,Block,FirstFlower,SecondFlower,Herm,Stam,OV_1,OV_2,OV_3,Pollen,Pollinate,startDate,DOY_flower1,DOY_flower2,Flower_Type
CE11,CE11B,South,CE,Control,B,,,,,,,,,,1/12/2022,,,
CE2,CE2B,South,CE,Heat,B,,,,,,,,,,1/12/2022,,,
CE3,CE3B,South,CE,Control,B,,,,,,,,,,1/12/2022,,,
CE4,CE4B,South,CE,Control,B,,,,,,,,,,1/12/2022,,,
CE5,CE5B,South,CE,Heat,B,,,,,,,,,,1/12/2022,,,
CE6,CE6B,South,CE,Heat,B,,,,,,,,,,1/12/2022,,,
CE7a,CE7aB,South,CE,Heat,B,,,,,,,,,,1/12/2022,,,
CE7b,CE7bB,South,CE,Heat,B,,,,,,,,,,1/12/2022,,,
CE8,CE8B,South,CE,Heat,B,,,,,,,,,,1/12/2022,,,
CE9,CE9B,South,CE,Heat,B,,,,,,,,,,1/12/2022,,,
FR1,FR1B,North,FR,Heat,B,2/22/2022,3/14/2022,0,1,11-Apr,4/11/2022,4/11/2022,3/17/2022,4/11/2022,1/12/2022,41,61,Stam
FR10,FR10B,North,FR,Control,B,,,,,,,,,,1/12/2022,,,
FR11,FR11B,North,FR,Control,B,2/22/2022,3/23/2022,0,1,4/20/2022,4/20/2022,4/20/2022,4.20/2022,4/20/2022,1/12/2022,41,70,Stam
FR12,FR12B,North,FR,Heat,B,,,,,,,,,,1/12/2022,,,
FR2,FR2B,North,FR,Control,B,,,,,,,,,,1/12/2022,,,
FR6,FR6B,North,FR,Heat,B,,,,,,,,,,1/12/2022,,,
FR8,FR8B,North,FR,Control,B,2/14/2022,3/10/2022,0,1,,,,,,1/12/2022,33,57,Stam
OP1,OP1B,South,OP,Heat,B,2/21/2022,,,,,,,,,1/12/2022,40,,
OP2,OP2B,South,OP,Heat,B,2/17/2022,2/28/2022,0,1,,,,3/5/2022,,1/12/2022,36,47,Stam
OP3,OP3B,South,OP,Control,B,2/21/2022,,,,,,,,,1/12/2022,40,,
OP4,OP4B,South,OP,Control,B,2/22/2022,3/23/2022,1,0,3/31/2022,3/31/2022,4/11/2022,4/11/2022,4/11/2022,1/12/2022,41,70,Herm
OP5,OP5B,South,OP,Heat,B,2/21/2022,3/12/2022,1,0,,,,3/17/2022,,1/12/2022,40,59,Herm
OP6,OP6B,South,OP,Control,B,2/22/2022,4/22/2022,1,0,4/26/2022,4/26/2022,,,,1/12/2022,41,,
OP7,OP7B,South,OP,Heat,B,2/18/2022,3/13/2022,0,1,,,,,,1/12/2022,37,60,Stam
OP8,OP8B,South,OP,Control,B,2/25/2022,5/6/2022,1,0,5/9/2022,5/9/2022,,5/9/2022,,1/12/2022,44,,
OP9,OP9B,South,OP,Heat,B,,,,,,,,,,1/12/2022,,,
PI1,PI1B,North,PI,Heat,B,2/24/2022,3/23/2022,1,0,,,,,,1/12/2022,43,70,Herm
PI10,PI10B,North,PI,Heat,B,2/21/2022,3/8/2022,1,0,3/14/2022,3/14/2022,3/14/2022,3/17/2022,3/17/2022,1/12/2022,40,55,Herm
PI11,PI11B,North,PI,Heat,B,2/16/2022,3/3/2022,1,0,,,,3/5/2022,,1/12/2022,35,50,Herm
PI12,PI12B,North,PI,Control,B,2/12/2022,3/3/2022,0,1,3/14/2022,3/17/2022,3/17/2022,3/5/2022,3/17/2022,1/12/2022,31,50,Stam
PI13,PI13B,North,PI,Control,B,2/21/2022,3/15/2022,1,1,3/24/2022,3/24/2022,3/24/2022,3/17/2022,3/24/2022,1/12/2022,40,62,Herm
PI14,PI14B,North,PI,Control,B,2/14/2022,3/5/2022,1,0,3/14/2022,3/14/2022,3/31/2022,3/17/2022,,1/12/2022,33,52,Herm
PI15,PI15B,North,PI,Control,B,2/16/2022,,,,,,,,,1/12/2022,35,,
PI18,PI18B,North,PI,Heat,B,2/26/2022,3/14/2022,1,0,3/24/2022,3/24/2022,3/24/2022,3/17/2022,3/24/2022,1/12/2022,45,61,Herm
PI19,PI19B,North,PI,Control,B,2/11/2022,2/24/2022,1,1,3/5/2022,3/7/2022,3/7/2022,3/5/2022,,1/12/2022,30,43,Herm
PI2,PI2B,North,PI,Heat,B,2/15/2022,2/21/2022,1,0,3/31/2022,3/31/2022,3/31/2022,3/17/2022,4/4/2022,1/12/2022,34,40,Herm
PI21,PI21B,North,PI,Control,B,2/15/2022,3/6/2022,1,0,3/14/2022,3/14/2022,3/14/2022,3/17/2022,3/17/2022,1/12/2022,34,53,Herm
PI25,PI25B,North,PI,Control,B,2/15/2022,3/3/2022,1,0,3/24/2022,3/24/2022,3/24/2022,3/31/2022,,1/12/2022,34,50,Herm
PI27,PI27B,North,PI,Heat,B,2/16/2022,3/4/2022,0,1,,,,3/5/2022,,1/12/2022,35,51,Stam
PI28,PI28B,North,PI,Heat,B,2/23/2022,3/17/2022,1,0,3/31/2022,3/31/2022,3/31/2022,4/20/2022,4/20/2022,1/12/2022,42,64,Herm
PI3,PI3B,North,PI,Heat,B,2/16/2022,2/26/2022,1,0,3/24/2022,3/24/2022,3/24/2022,3/5/2022,3/31/2022,1/12/2022,35,45,Herm
PI30,PI30B,North,PI,Heat,B,2/13/2022,2/25/2022,1,0,3/5/2022,3/5/2022,3/5/2022,3/17/2022,4/20/2022,1/12/2022,32,44,Herm
PI4,PI4B,North,PI,Heat,B,2/9/2022,3/12/2022,1,0,3/24/2022,3/24/2022,3/24/2022,3/17/2022,3/31/2022,1/12/2022,28,59,Herm
PI5,PI5B,North,PI,Control,B,2/12/2022,3/3/2022,1,0,3/31/2022,3/31/2022,3/31/2022,3/5/2022,4/4/2022,1/12/2022,31,50,Herm
PI9,PI9B,North,PI,Heat,B,2/14/2022,2/26/2022,1,0,3/5/2022,3/5/2022,3/5/2022,3/5/2022,3/31/2022,1/12/2022,33,45,Herm
PL2,PL2B,South,PL,Control,B,,,,,,,,,,1/12/2022,,,
PL4,PL4B,South,PL,Control,B,,,,,,,,,,1/12/2022,,,
PL5,PL5B,South,PL,Control,B,,,,,,,,,,1/12/2022,,,
RE3,RE3B,South,RE,Control,B,,,,,,,,,,1/12/2022,,,
RE5,RE5B,South,RE,Heat,B,,,,,,,,,,1/12/2022,,,
CE1,CE1C,South,CE,Control,C,,,,,,,,,,5/2/2022,,,
CE10,CE10C,South,CE,Heat,C,,,,,,,,,,5/1/2022,,,
CE11,CE11C,South,CE,Heat,C,,,,,,,,,,5/2/2022,,,
CE2,CE2C,South,CE,Control,C,,,,,,,,,,5/1/2022,,,
CE3,CE3C,South,CE,Heat,C,,,,,,,,,,5/1/2022,,,
CE4,CE4C,South,CE,Heat,C,,,,,,,,,,5/1/2022,,,
CE5,CE5C,South,CE,Control,C,,,,,,,,,,5/2/2022,,,
CE6,CE6C,South,CE,Control,C,,,,,,,,,,5/1/2022,,,
CE7a,CE7aC,South,CE,Control,C,,,,,,,,,,5/1/2022,,,
CE7b,CE7bC,South,CE,Control,C,,,,,,,,,,5/1/2022,,,
CE8,CE8C,South,CE,Control,C,,,,,,,,,,5/1/2022,,,
CE9,CE9C,South,CE,Control,C,,,,,,,,,,5/1/2022,,,
FR1,FR1C,North,FR,Control,C,,,,,,,,,,5/1/2022,,,
FR10,FR10C,North,FR,Heat,C,,,,,,,,,,5/1/2022,,,
FR11,FR11C,North,FR,Heat,C,,,,,,,,,,5/1/2022,,,
FR12,FR12C,North,FR,Control,C,,,,,,,,,,5/1/2022,,,
FR2,FR2C,North,FR,Heat,C,,,,,,,,,,5/1/2022,,,
FR6,FR6C,North,FR,Control,C,,,,,,,,,,5/1/2022,,,
FR8,FR8C,North,FR,Heat,C,,,,,,,,,,5/1/2022,,,
OP1,OP1C,South,OP,Control,C,,,,,,,,,,5/1/2022,,,
OP2,OP2C,South,OP,Control,C,,,,,,,,,,5/1/2022,,,
OP3,OP3C,South,OP,Heat,C,,,,,,,,,,5/1/2022,,,
OP4,OP4C,South,OP,Heat,C,,,,,,,,,,5/1/2022,,,
OP5,OP5C,South,OP,Control,C,,,,,,,,,,5/1/2022,,,
OP6,OP6C,South,OP,Heat,C,,,,,,,,,,5/1/2022,,,
OP7,OP7C,South,OP,Control,C,,,,,,,,,,5/1/2022,,,
OP8,OP8C,South,OP,Heat,C,,,,,,,,,,5/1/2022,,,
OP9,OP9C,South,OP,Control,C,,,,,,,,,,5/1/2022,,,
PI1,PI1C,North,PI,Control,C,,,,,,,,,,5/1/2022,,,
PI10,PI10C,North,PI,Control,C,,,,,,,,,,5/1/2022,,,
PI11,PI11C,North,PI,Control,C,,,,,,,,,,5/2/2022,,,
PI12,PI12C,North,PI,Heat,C,,,,,,,,,,5/1/2022,,,
PI13,PI13C,North,PI,Heat,C,,,,,,,,,,5/1/2022,,,
PI14,PI14C,North,PI,Heat,C,,,,,,,,,,5/1/2022,,,
PI15,PI15C,North,PI,Heat,C,,,,,,,,,,5/1/2022,,,
PI18,PI18C,North,PI,Control,C,,,,,,,,,,5/1/2022,,,
PI19,PI19C,North,PI,Heat,C,,,,,,,,,,5/1/2022,,,
PI2,PI2C,North,PI,Control,C,,,,,,,,,,5/1/2022,,,
PI21,PI21C,North,PI,Heat,C,,,,,,,,,,5/1/2022,,,
PI25,PI25C,North,PI,Heat,C,,,,,,,,,,5/1/2022,,,
PI27,PI27C,North,PI,Control,C,,,,,,,,,,5/1/2022,,,
PI28,PI28C,North,PI,Control,C,,,,,,,,,,5/1/2022,,,
PI3,PI3C,North,PI,Control,C,,,,,,,,,,5/1/2022,,,
PI30,PI30C,North,PI,Control,C,,,,,,,,,,5/1/2022,,,
PI4,PI4C,North,PI,Control,C,,,,,,,,,,5/1/2022,,,
PI5,PI5C,North,PI,Heat,C,,,,,,,,,,5/1/2022,,,
PI9,PI9C,North,PI,Control,C,,,,,,,,,,5/1/2022,,,
PL2,PL2C,South,PL,Heat,C,,,,,,,,,,5/1/2022,,,
PL4,PL4C,South,PL,Heat,C,,,,,,,,,,5/1/2022,,,
PL5,PL5C,South,PL,Heat,C,,,,,,,,,,5/1/2022,,,
RE3,RE3C,South,RE,Heat,C,,,,,,,,,,5/1/2022,,,
RE5,RE5C,South,RE,Control,C,,,,,,,,,,5/2/2022,,,
CE1,CE1D,South,CE,Heat,D,,,,,,,,,,5/1/2022,,,
CE10,CE10D,South,CE,Control,D,,,,,,,,,,5/1/2022,,,
CE11,CE11D,South,CE,Control,D,,,,,,,,,,5/1/2022,,,
CE2,CE2D,South,CE,Heat,D,,,,,,,,,,5/1/2022,,,
CE3,CE3D,South,CE,Control,D,,,,,,,,,,5/1/2022,,,
CE4,CE4D,South,CE,Control,D,,,,,,,,,,5/1/2022,,,
CE5,CE5D,South,CE,Heat,D,,,,,,,,,,5/2/2022,,,
CE6,CE6D,South,CE,Heat,D,,,,,,,,,,5/1/2022,,,
CE7a,CE7aD,South,CE,Heat,D,,,,,,,,,,5/1/2022,,,
CE7b,CE7bD,South,CE,Heat,D,,,,,,,,,,5/1/2022,,,
CE8,CE8D,South,CE,Heat,D,,,,,,,,,,5/1/2022,,,
CE9,CE9D,South,CE,Heat,D,,,,,,,,,,5/1/2022,,,
FR1,FR1D,North,FR,Heat,D,,,,,,,,,,-,,,
FR10,FR10D,North,FR,Control,D,,,,,,,,,,5/2/2022,,,
FR11,FR11D,North,FR,Control,D,,,,,,,,,,5/1/2022,,,
FR12,FR12D,North,FR,Heat,D,,,,,,,,,,5/1/2022,,,
FR2,FR2D,North,FR,Control,D,,,,,,,,,,5/1/2022,,,
FR6,FR6D,North,FR,Heat,D,,,,,,,,,,5/2/2022,,,
FR8,FR8D,North,FR,Control,D,,,,,,,,,,-,,,
OP1,OP1D,South,OP,Heat,D,,,,,,,,,,5/1/2022,,,
OP2,OP2D,South,OP,Heat,D,,,,,,,,,,5/1/2022,,,
OP3,OP3D,South,OP,Control,D,,,,,,,,,,5/1/2022,,,
OP4,OP4D,South,OP,Control,D,,,,,,,,,,5/1/2022,,,
OP5,OP5D,South,OP,Heat,D,,,,,,,,,,5/1/2022,,,
OP6,OP6D,South,OP,Control,D,,,,,,,,,,5/1/2022,,,
OP7,OP7D,South,OP,Heat,D,,,,,,,,,,5/1/2022,,,
OP8,OP8D,South,OP,Control,D,,,,,,,,,,5/1/2022,,,
OP9,OP9D,South,OP,Heat,D,,,,,,,,,,5/1/2022,,,
PI1,PI1D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PI10,PI10D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PI11,PI11D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PI12,PI12D,North,PI,Control,D,,,,,,,,,,5/1/2022,,,
PI13,PI13D,North,PI,Control,D,,,,,,,,,,5/1/2022,,,
PI14,PI14D,North,PI,Control,D,,,,,,,,,,5/1/2022,,,
PI15,PI15D,North,PI,Control,D,,,,,,,,,,5/1/2022,,,
PI18,PI18D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PI19,PI19D,North,PI,Control,D,,,,,,,,,,5/1/2022,,,
PI2,PI2D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PI21,PI21D,North,PI,Control,D,,,,,,,,,,5/1/2022,,,
PI25,PI25D,North,PI,Control,D,,,,,,,,,,5/1/2022,,,
PI27,PI27D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PI28,PI28D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PI3,PI3D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PI30,PI30D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PI4,PI4D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PI5,PI5D,North,PI,Control,D,,,,,,,,,,5/1/2022,,,
PI9,PI9D,North,PI,Heat,D,,,,,,,,,,5/1/2022,,,
PL2,PL2D,South,PL,Control,D,,,,,,,,,,5/1/2022,,,
PL4,PL4D,South,PL,Control,D,,,,,,,,,,5/1/2022,,,
PL5,PL5D,South,PL,Control,D,,,,,,,,,,5/1/2022,,,
RE3,RE3D,South,RE,Control,D,,,,,,,,,,5/1/2022,,,
RE5,RE5D,South,RE,Heat,D,,,,,,,,,,5/1/2022,,,
